ID,Category
3,0
4,0
6,1
7,0
8,0
10,0
11,1
12,0
15,0
16,1
17,3
18,2
20,0
23,0
24,0
29,0
30,0
33,4
35,4
39,1
40,0
41,4
43,0
45,2
48,4
49,1
50,2
51,0
52,0
53,2
55,0
56,4
60,1
61,1
62,0
63,0
65,3
68,0
69,0
70,1
71,1
72,1
74,0
75,1
76,0
77,0
79,4
81,1
82,0
83,3
84,1
85,0
86,2
87,1
88,0
89,0
90,1
93,2
94,0
95,0
97,1
98,2
99,1
100,0
101,0
104,0
105,0
106,0
107,3
109,0
111,0
112,0
113,1
114,4
115,0
116,3
118,4
119,0
121,0
124,1
125,1
127,1
129,0
130,0
131,1
132,1
133,0
135,2
136,0
138,4
140,4
142,0
143,0
144,2
146,4
148,1
150,2
154,0
155,2
156,0
157,1
158,0
159,2
160,1
161,1
162,1
165,0
166,0
167,1
168,0
170,0
171,1
172,0
173,2
174,1
175,0
178,1
179,3
180,0
181,0
183,0
184,0
185,1
186,2
187,0
189,3
190,1
191,4
192,0
193,0
194,2
195,4
196,4
197,0
198,1
199,1
200,0
202,2
204,1
205,0
206,0
207,1
209,1
211,1
213,0
214,3
216,0
217,0
220,1
222,0
223,0
224,1
225,1
226,0
227,3
229,1
230,0
231,1
232,1
233,0
234,1
236,2
238,4
240,1
242,1
243,0
244,0
245,0
246,1
247,2
253,1
254,0
255,3
257,0
259,0
260,0
262,2
263,0
264,1
265,0
267,3
268,0
269,1
271,1
272,1
273,1
276,4
277,0
278,1
279,0
281,0
282,1
283,3
285,1
286,0
289,2
290,1
291,4
292,1
294,0
295,0
296,1
297,4
298,0
300,0
302,3
303,0
304,0
305,0
307,0
308,0
309,1
311,3
314,0
315,2
317,1
319,2
320,1
321,1
323,1
325,2
326,2
327,2
328,1
330,2
331,1
332,1
333,0
335,0
336,1
337,0
338,0
340,0
341,4
342,0
344,1
347,0
349,4
350,2
351,0
352,0
353,0
356,1
358,0
359,0
360,1
362,1
363,1
366,0
367,0
369,0
371,1
374,0
375,4
376,2
377,0
378,4
380,1
381,0
382,0
383,0
384,0
385,3
386,4
389,0
390,0
391,1
392,1
393,0
394,0
395,4
396,0
398,2
401,0
402,0
403,1
404,0
405,1
406,0
407,2
408,0
409,2
410,1
411,0
414,0
415,0
417,1
418,1
419,0
420,2
421,0
422,0
423,0
425,2
426,1
427,0
428,0
430,0
431,0
435,2
436,0
439,0
440,0
442,1
443,1
445,0
447,1
448,0
450,3
453,2
454,0
455,0
456,1
457,0
458,1
459,1
460,0
461,1
462,1
463,4
464,1
466,1
467,0
469,1
470,1
474,0
476,0
477,1
480,1
481,3
482,1
483,1
484,0
485,3
489,0
490,0
491,0
492,1
493,0
496,2
497,0
498,1
500,0
501,1
503,2
504,2
505,0
506,0
507,0
508,0
510,0
512,2
515,2
516,2
517,1
519,1
520,0
521,1
522,4
523,0
524,0
526,0
527,1
528,0
530,0
531,0
532,0
533,0
534,1
535,4
536,0
538,1
539,2
540,0
541,1
542,0
544,1
545,0
547,0
548,0
549,2
550,1
551,0
552,1
554,0
555,1
556,0
559,2
562,3
563,2
564,1
565,2
566,0
567,2
568,4
569,0
570,0
573,2
574,1
575,1
576,0
577,0
578,3
580,4
581,0
582,0
584,0
586,0
587,2
588,0
591,0
593,0
594,2
595,0
596,1
597,1
598,2
599,1
600,1
603,1
605,2
606,4
607,0
608,0
609,1
610,1
611,0
612,2
613,0
614,2
617,1
618,1
620,0
622,0
623,1
624,2
626,0
627,1
629,0
630,0
632,2
634,0
635,1
636,0
638,1
642,0
644,3
646,0
649,0
650,2
652,0
653,0
654,1
655,0
656,1
659,0
660,4
661,0
662,2
663,2
664,1
665,1
666,1
667,2
668,1
670,0
671,0
672,0
673,0
674,1
675,1
677,2
678,3
679,1
680,1
681,0
683,0
684,2
686,1
687,1
690,0
692,1
693,1
694,0
696,1
698,2
699,2
700,1
701,0
702,1
704,0
705,0
706,4
707,0
708,0
710,0
711,0
712,0
713,1
714,0
715,0
716,0
718,1
719,0
720,1
722,1
723,1
724,2
725,1
729,0
731,4
734,4
735,1
737,0
739,1
740,0
743,0
744,3
746,1
747,3
748,0
749,0
752,0
753,0
754,1
755,1
757,3
758,1
760,1
763,1
764,0
765,0
766,2
768,0
769,3
770,4
773,0
774,0
777,0
778,0
779,1
780,0
781,4
782,0
783,0
786,1
787,3
789,0
790,4
791,0
792,0
793,3
794,0
795,0
796,0
797,0
800,0
802,0
804,1
806,2
808,4
809,0
811,4
813,0
814,0
815,0
817,0
821,0
824,1
826,0
829,1
830,0
832,1
833,4
834,0
840,1
842,1
843,2
844,0
846,0
847,0
848,0
850,1
851,2
853,1
854,1
855,0
856,0
857,2
858,0
860,0
862,0
865,1
867,0
869,0
870,0
871,0
872,0
873,0
875,1
877,0
879,1
880,0
881,4
882,0
884,0
885,4
887,1
888,0
889,0
890,2
892,4
893,1
894,4
895,2
899,0
900,1
903,1
904,0
905,0
906,0
907,0
908,1
910,1
912,1
914,0
915,1
916,0
917,0
918,0
919,1
920,0
922,0
923,0
924,0
927,0
928,0
929,1
931,0
932,3
933,2
934,2
935,0
938,0
939,2
941,2
942,0
944,4
945,0
946,0
949,2
952,1
954,1
955,3
957,1
958,0
960,0
961,2
962,1
963,4
965,0
966,0
969,0
970,0
973,2
974,0
975,0
976,1
978,0
979,0
980,1
982,2
985,0
986,0
987,2
988,0
989,1
